PostalCode,District,Sector,Region,PlanningArea,Latitude,Longitude
257784,10,25,Central Region,Tanglin,1.312672854,103.8080404
258054,10,25,Central Region,Tanglin,1.311485664,103.8065452
257855,10,25,Central Region,Tanglin,1.317925363,103.8251796
257752,10,25,Central Region,Tanglin,1.310771551,103.8071502
257865,10,25,Central Region,Tanglin,1.319553251,103.8258219
266877,10,26,Central Region,Bukit Timah,1.318716144,103.7894338
258047,10,25,Central Region,Tanglin,1.31174415,103.806108
258485,10,25,Central Region,Tanglin,1.306412299,103.8231361
258159,10,25,Central Region,Tanglin,1.319166793,103.8259355
257534,10,25,Central Region,Tanglin,1.315371637,103.8084301
259963,10,25,Central Region,Newton,1.308972464,103.8301523
248653,10,24,Central Region,Orchard,1.303333389,103.8247067
247991,10,24,Central Region,Tanglin,1.302062989,103.8176976
259987,10,25,Central Region,Newton,1.310839454,103.8283254
257760,10,25,Central Region,Tanglin,1.311438054,103.807344
259386,10,25,Central Region,Newton,1.310129552,103.8318021
288408,11,28,Central Region,Bukit Timah,1.326861431,103.8123056
288411,11,28,Central Region,Bukit Timah,1.327400199,103.8122568
309494,11,30,Central Region,Novena,1.317654629,103.836535
288455,11,28,Central Region,Bukit Timah,1.326597305,103.8113329
288564,11,28,Central Region,Bukit Timah,1.329995137,103.8116232
309309,11,30,Central Region,Novena,1.31649465,103.8391039
308729,11,30,Central Region,Novena,1.323571518,103.8411334
307682,11,30,Central Region,Novena,1.31773262,103.8449092
308231,11,30,Central Region,Novena,1.324792295,103.8501269
289674,11,28,Central Region,Bukit Timah,1.324963378,103.8103171
308125,11,30,Central Region,Novena,1.31953349,103.8470299
307947,11,30,Central Region,Novena,1.313693156,103.8403875
308362,11,30,Central Region,Novena,1.31596822,103.8433915
309082,11,30,Central Region,Novena,1.31814187,103.8391511
298189,11,29,Central Region,Toa Payoh,1.340638139,103.8381631
308095,11,30,Central Region,Novena,1.318802242,103.8453187
298190,11,29,Central Region,Toa Payoh,1.341102833,103.8387411
298144,11,29,Central Region,Toa Payoh,1.340718325,103.8370727
298187,11,29,Central Region,Toa Payoh,1.340626236,103.8375477
307788,11,30,Central Region,Novena,1.314083429,103.8439849
297834,11,29,Central Region,Novena,1.326258046,103.836975
307605,11,30,Central Region,Novena,1.318058727,103.8446821
298088,11,29,Central Region,Novena,1.322941889,103.8257486
298090,11,29,Central Region,Novena,1.32302176,103.8252994
298089,11,29,Central Region,Novena,1.322404801,103.8254102
309104,11,30,Central Region,Novena,1.318567653,103.8402688
308353,11,30,Central Region,Novena,1.315323126,103.8430559
307786,11,30,Central Region,Novena,1.314589998,103.8444534
307954,11,30,Central Region,Novena,1.31490076,103.8404609
307989,11,30,Central Region,Novena,1.314294264,103.8411507
308323,11,30,Central Region,Novena,1.319069724,103.8461015
308143,11,30,Central Region,Novena,1.31908637,103.8470536
308225,11,30,Central Region,Novena,1.324334213,103.849718
308214,11,30,Central Region,Novena,1.323274343,103.848835
289900,11,28,Central Region,Bukit Timah,1.328044896,103.8133956
307666,11,30,Central Region,Novena,1.323983672,103.8414354
289902,11,28,Central Region,Bukit Timah,1.32839143,103.8127512
289901,11,28,Central Region,Bukit Timah,1.32808517,103.8125668
289895,11,28,Central Region,Bukit Timah,1.327843271,103.8133143
308144,11,30,Central Region,Novena,1.31911758,103.846656
309459,11,30,Central Region,Novena,1.316123412,103.8455188
309470,11,30,Central Region,Novena,1.315244718,103.8454506
307990,11,30,Central Region,Novena,1.314782335,103.8419584
286891,11,28,Central Region,Bukit Timah,1.325194579,103.8109809
286889,11,28,Central Region,Bukit Timah,1.326001602,103.8112518
286890,11,28,Central Region,Bukit Timah,1.325613762,103.8107312
288535,11,28,Central Region,Bukit Timah,1.325588059,103.8116469
288534,11,28,Central Region,Bukit Timah,1.325655903,103.8120599
286888,11,28,Central Region,Bukit Timah,1.325514434,103.8113728
307811,11,30,Central Region,Novena,1.317933469,103.8469183
288533,11,28,Central Region,Bukit Timah,1.325266087,103.8119876
308107,11,30,Central Region,Novena,1.31886774,103.8447352
308346,11,30,Central Region,Novena,1.314494522,103.8425059
308347,11,30,Central Region,Novena,1.314792984,103.8425734
309329,11,30,Central Region,Novena,1.317409763,103.8449138
307953,11,30,Central Region,Novena,1.31471753,103.8414285
307687,11,30,Central Region,Novena,1.324787294,103.8408644
307686,11,30,Central Region,Novena,1.32461345,103.8411034
307674,11,30,Central Region,Novena,1.324624905,103.8413415
307856,11,30,Central Region,Novena,1.318711816,103.8496695
307994,11,30,Central Region,Novena,1.317800914,103.8423138
307743,11,30,Central Region,Novena,1.316271124,103.8421446
307669,11,30,Central Region,Novena,1.324303006,103.8410181
308345,11,30,Central Region,Novena,1.314869134,103.84348
308366,11,30,Central Region,Novena,1.315212679,103.8435476
308364,11,30,Central Region,Novena,1.31441387,103.8432912
308342,11,30,Central Region,Novena,1.313926766,103.8431041
308349,11,30,Central Region,Novena,1.315138127,103.8426402
308186,11,30,Central Region,Novena,1.323374323,103.8503808
307781,11,30,Central Region,Novena,1.314243998,103.8446867
307745,11,30,Central Region,Novena,1.315951676,103.8418546
308133,11,30,Central Region,Novena,1.319533289,103.846626
309311,11,30,Central Region,Novena,1.316064174,103.839493
307943,11,30,Central Region,Novena,1.314049868,103.8394528
309306,11,30,Central Region,Novena,1.315484974,103.8394674
309776,11,30,Central Region,Novena,1.318295621,103.8410633
309762,11,30,Central Region,Novena,1.317200271,103.8405329
309307,11,30,Central Region,Novena,1.316759039,103.8396621
297724,11,29,Central Region,Toa Payoh,1.33126771,103.840604
297727,11,29,Central Region,Toa Payoh,1.331658895,103.8417092
297726,11,29,Central Region,Toa Payoh,1.33145814,103.8414092
297725,11,29,Central Region,Toa Payoh,1.331270798,103.8410219
308227,11,30,Central Region,Novena,1.324621943,103.8499576
309978,11,30,Central Region,Novena,1.324586021,103.8481734
308162,11,30,Central Region,Novena,1.323782735,103.8501021
309979,11,30,Central Region,Novena,1.324347122,103.8484017
308322,11,30,Central Region,Novena,1.318826798,103.8460814
307468,11,30,Central Region,Novena,1.31943667,103.8450562
307467,11,30,Central Region,Novena,1.3196002,103.8452717
308208,11,30,Central Region,Novena,1.322522208,103.8488911
309752,11,30,Central Region,Novena,1.317015214,103.8398744
307780,11,30,Central Region,Novena,1.314648303,103.8448191
307668,11,30,Central Region,Novena,1.324074399,103.841022
288383,11,28,Central Region,Bukit Timah,1.326601354,103.8126549
309973,11,30,Central Region,Novena,1.322421724,103.848172
286653,11,28,Central Region,Bukit Timah,1.327061399,103.8128962
307762,11,30,Central Region,Novena,1.315374759,103.8423999
286654,11,28,Central Region,Bukit Timah,1.327068297,103.8126665
308092,11,30,Central Region,Novena,1.318184399,103.8463942
307464,11,30,Central Region,Novena,1.315435662,103.8442204
307462,11,30,Central Region,Novena,1.315655864,103.8444447
308365,11,30,Central Region,Novena,1.313933619,103.8423804
288416,11,28,Central Region,Bukit Timah,1.328060184,103.8117396
288415,11,28,Central Region,Bukit Timah,1.328096148,103.8119883
